epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4833.96,0.41741,0.59212,0.8976,0.75536,0.5096,0.52199,0.40293,0.68758,1.21224,1.18668,0.000742625,0.000742625,0.000742625
43,4959.32,0.41547,0.60667,0.89391,0.68495,0.45929,0.46581,0.36193,0.70339,1.35546,1.17774,0.00073025,0.00073025,0.00073025
44,5083.39,0.42158,0.61336,0.89655,0.74121,0.46691,0.46534,0.35187,0.69202,1.29128,1.19323,0.000717875,0.000717875,0.000717875
45,5210.2,0.42933,0.62657,0.90575,0.81646,0.48717,0.5211,0.39634,0.65813,1.10765,1.17786,0.0007055,0.0007055,0.0007055
46,5327.63,0.38916,0.56467,0.89006,0.74519,0.52455,0.53928,0.4226,0.63643,1.09421,1.14273,0.000693125,0.000693125,0.000693125
47,5440.65,0.41147,0.57913,0.90561,0.80177,0.48047,0.52801,0.4132,0.60723,1.0904,1.12959,0.00068075,0.00068075,0.00068075
48,5549.87,0.41727,0.61866,0.88968,0.76005,0.50086,0.52035,0.40924,0.64575,1.08958,1.16923,0.000668375,0.000668375,0.000668375
49,5658.24,0.38818,0.59464,0.89232,0.74125,0.50348,0.51168,0.40849,0.62841,1.16251,1.14718,0.000656,0.000656,0.000656
50,5768.24,0.38561,0.56197,0.89333,0.76641,0.55827,0.54787,0.44515,0.58465,0.97688,1.10137,0.000643625,0.000643625,0.000643625
51,5876.68,0.39904,0.56452,0.90812,0.80229,0.54538,0.5544,0.45223,0.60295,0.97077,1.13169,0.00063125,0.00063125,0.00063125
52,5987.32,0.39123,0.51734,0.89545,0.78712,0.53785,0.56408,0.43862,0.63738,0.98825,1.16096,0.000618875,0.000618875,0.000618875
53,6101.46,0.38423,0.53206,0.88527,0.75824,0.54269,0.55846,0.43636,0.62833,1.01292,1.15909,0.0006065,0.0006065,0.0006065
54,6219.78,0.38531,0.49704,0.88453,0.82636,0.51874,0.55975,0.44261,0.61996,1.01798,1.13393,0.000594125,0.000594125,0.000594125
55,6343.1,0.35982,0.48348,0.86742,0.86438,0.51111,0.5673,0.44729,0.6285,1.03799,1.14289,0.00058175,0.00058175,0.00058175
56,6466.54,0.37222,0.51459,0.8763,0.84413,0.49495,0.5354,0.41948,0.64433,1.08739,1.16101,0.000569375,0.000569375,0.000569375
57,6590.03,0.3867,0.50305,0.88095,0.80743,0.50052,0.53357,0.4174,0.64506,1.10077,1.1783,0.000557,0.000557,0.000557
58,6714.35,0.36654,0.49143,0.87548,0.79743,0.48811,0.5164,0.4044,0.63776,1.0566,1.17048,0.000544625,0.000544625,0.000544625
59,6839.93,0.35581,0.50685,0.86808,0.78434,0.51017,0.5223,0.40604,0.63542,1.04557,1.15402,0.00053225,0.00053225,0.00053225
60,6966.31,0.37184,0.49569,0.88485,0.80231,0.49471,0.53715,0.39553,0.65577,1.11187,1.16661,0.000519875,0.000519875,0.000519875
61,7092.18,0.34649,0.47042,0.87972,0.79462,0.46003,0.52997,0.40996,0.62496,1.16522,1.13907,0.0005075,0.0005075,0.0005075
62,7216.28,0.37111,0.47511,0.87759,0.82693,0.48079,0.54126,0.42529,0.62664,1.09263,1.13015,0.000495125,0.000495125,0.000495125
63,7340.65,0.35844,0.49652,0.86612,0.82269,0.48824,0.54118,0.43211,0.60632,1.04267,1.11194,0.00048275,0.00048275,0.00048275
64,7463.65,0.36481,0.47748,0.86603,0.81732,0.48824,0.5306,0.42815,0.58837,1.08317,1.10531,0.000470375,0.000470375,0.000470375
65,7581.78,0.3517,0.47124,0.86323,0.82297,0.46663,0.53903,0.44007,0.59606,1.07215,1.11975,0.000458,0.000458,0.000458
66,7701.16,0.36937,0.48423,0.86895,0.81573,0.54222,0.57085,0.47597,0.59059,0.94721,1.11973,0.000445625,0.000445625,0.000445625
67,7827.07,0.35539,0.46616,0.87238,0.81679,0.55972,0.5786,0.48083,0.56866,0.92756,1.10278,0.00043325,0.00043325,0.00043325
68,7952.68,0.34496,0.44103,0.87176,0.79251,0.57905,0.57679,0.47719,0.54856,0.94007,1.08801,0.000420875,0.000420875,0.000420875
69,8077.86,0.36061,0.46512,0.8782,0.841,0.52643,0.5822,0.4752,0.55894,0.91302,1.0943,0.0004085,0.0004085,0.0004085
70,8203.25,0.3416,0.44879,0.86793,0.76795,0.55173,0.57063,0.46429,0.57398,0.90636,1.12406,0.000396125,0.000396125,0.000396125
71,8279.28,0.34697,0.44918,0.85943,0.81577,0.54237,0.57661,0.46376,0.56463,0.92046,1.10734,0.00038375,0.00038375,0.00038375
72,8359.38,0.34839,0.47679,0.87364,0.82179,0.5407,0.57921,0.46416,0.58057,0.96034,1.10222,0.000371375,0.000371375,0.000371375
73,9101.53,0.34608,0.47183,0.87665,0.79018,0.55124,0.57356,0.45359,0.57849,0.95049,1.09728,0.000359,0.000359,0.000359
74,9174.4,0.34459,0.43241,0.8664,0.77356,0.51233,0.54555,0.43155,0.58677,0.97646,1.11562,0.000346625,0.000346625,0.000346625
75,9250.74,0.33996,0.42664,0.86684,0.81487,0.49301,0.53474,0.42037,0.59238,1.02062,1.11947,0.00033425,0.00033425,0.00033425
76,9331.03,0.35096,0.43848,0.86871,0.83959,0.50128,0.53343,0.41692,0.6074,1.05784,1.13149,0.000321875,0.000321875,0.000321875
77,9415.27,0.34047,0.4439,0.87007,0.85089,0.48874,0.53731,0.4234,0.6064,1.05074,1.12358,0.0003095,0.0003095,0.0003095
78,9496.02,0.35457,0.44414,0.87542,0.89358,0.44586,0.52494,0.41584,0.6107,1.1007,1.13551,0.000297125,0.000297125,0.000297125
79,9592.98,0.32352,0.41313,0.87182,0.81428,0.47699,0.52923,0.42103,0.60215,1.08509,1.13913,0.00028475,0.00028475,0.00028475
80,9673.69,0.34377,0.42469,0.87312,0.83153,0.50005,0.54283,0.42912,0.59696,1.01128,1.13725,0.000272375,0.000272375,0.000272375
81,9753.04,0.3344,0.41292,0.86718,0.76506,0.59286,0.56274,0.45016,0.57923,0.94993,1.11688,0.00026,0.00026,0.00026
82,9830.75,0.3341,0.40958,0.8693,0.83425,0.55444,0.57855,0.47664,0.55589,0.89025,1.08998,0.000247625,0.000247625,0.000247625
83,9914,0.31556,0.38378,0.85442,0.78671,0.59843,0.58821,0.48118,0.55052,0.87498,1.08726,0.00023525,0.00023525,0.00023525
84,10002.8,0.31544,0.39351,0.85841,0.81016,0.56099,0.58624,0.47986,0.55025,0.89044,1.09324,0.000222875,0.000222875,0.000222875
85,10081.6,0.31269,0.38949,0.86366,0.90731,0.49028,0.57941,0.46859,0.5669,0.90239,1.10866,0.0002105,0.0002105,0.0002105
86,10159.1,0.2941,0.38393,0.84699,0.83053,0.5122,0.56917,0.45967,0.57025,0.91746,1.11912,0.000198125,0.000198125,0.000198125
87,10246.8,0.31217,0.38242,0.85784,0.81483,0.52298,0.56778,0.46188,0.56425,0.92196,1.12277,0.00018575,0.00018575,0.00018575
88,10331.9,0.29888,0.38945,0.85698,0.78665,0.54506,0.5685,0.46969,0.56065,0.9038,1.12099,0.000173375,0.000173375,0.000173375
89,10415.2,0.32892,0.40682,0.86868,0.79718,0.53661,0.56692,0.46801,0.55475,0.90014,1.11352,0.000161,0.000161,0.000161
90,10495.6,0.31211,0.39438,0.85846,0.80335,0.54661,0.57468,0.47013,0.55653,0.89031,1.1216,0.000148625,0.000148625,0.000148625
91,10576.2,0.27554,0.43556,0.82334,0.78705,0.53899,0.57244,0.46315,0.56166,0.89279,1.12686,0.00013625,0.00013625,0.00013625
92,10659.1,0.29344,0.43274,0.84627,0.73953,0.557,0.54676,0.44736,0.59581,0.96088,1.14829,0.000123875,0.000123875,0.000123875
93,10743.1,0.25565,0.37634,0.81862,0.83345,0.46691,0.5336,0.42693,0.60274,1.02897,1.1485,0.0001115,0.0001115,0.0001115
94,10823.3,0.24945,0.37794,0.81678,0.77446,0.5357,0.53937,0.43243,0.57659,1.02086,1.12796,9.9125e-05,9.9125e-05,9.9125e-05
95,10918.5,0.25775,0.35297,0.81805,0.76771,0.55224,0.55038,0.44596,0.56004,0.99404,1.10719,8.675e-05,8.675e-05,8.675e-05
96,11007.7,0.24933,0.3509,0.8059,0.78244,0.57562,0.5602,0.46168,0.53672,0.95023,1.08795,7.4375e-05,7.4375e-05,7.4375e-05
97,11084,0.25839,0.35114,0.83479,0.78298,0.55757,0.55905,0.47158,0.53234,0.93191,1.08164,6.2e-05,6.2e-05,6.2e-05
98,11167.5,0.2456,0.34467,0.80472,0.7913,0.57294,0.56807,0.47993,0.52921,0.89231,1.08003,4.9625e-05,4.9625e-05,4.9625e-05
99,11256,0.24085,0.33156,0.81594,0.79446,0.58671,0.57154,0.48442,0.52701,0.87106,1.07995,3.725e-05,3.725e-05,3.725e-05
100,11339.2,0.24528,0.35209,0.82756,0.78838,0.57844,0.57536,0.48904,0.52262,0.86169,1.07815,2.4875e-05,2.4875e-05,2.4875e-05
